"behavior","cluster_id","cluster_label"
"check your phone","48","to use a phone"
"wipe your nose with your hand","36","to use the mouth"
"take pictures of yourself","19","to take photos"
"bring water","5","to be in water"
"get down on the floor","27","to lie on the floor"
"get a po box in your spouse's name","17","to engage in sexual activities"
"play football","18","to play"
"identify the different species of plants and animals","35","to interact with animals"
"eat a donut","31","to eat"
"swim in the moat","5","to be in water"
"withhold food or water as a form of punishment","25","to serve food"
"passing gas","3","to drive"
"tag the inventory","43","to engage in store operations"
"leave a dirty diaper inside","24","to clean"
"sell drugs","2","to buy"
"reach for items on the shelves","43","to engage in store operations"
"have a campfire","0","to use fire"
"pull out a weapon","16","to interact with objects"
"hit people with paintballs","18","to play"
"visit a bar","10","to move around"
"call an infraction by the visiting team","9","to express negative emotions"
"drinking milk","1","to consume beverages"
"bring in weapons","28","to bring items"
"show your shoulders","9","to express negative emotions"
"do a pcr reaction","23","to check"
"catch a house finch","21","to care for plants"
"change in the locker room","43","to engage in store operations"
"shaking hands with someone","44","to touch someone"
"tack up the horses","35","to interact with animals"
"pray to a god or gods","8","to participate in religious practices"
"play with a fidget spinner","16","to interact with objects"
"close the store","43","to engage in store operations"
"mail a package","26","to perform tasks"
"make sudden turns","3","to drive"
"gaze into someone's eyes","38","to look"
"stand under the water","5","to be in water"
"eat a snack on an airplane","31","to eat"
"fill a bucket with sand","5","to be in water"
"use a facial mask","7",""
"throw a bat","18","to play"
"blow smoke in someone's face","0","to use fire"
"stick out your tongue","36","to use the mouth"
"bring your own linens or towels","28","to bring items"
"sit up straight","20","to sit"
"take customers' money","15","to interact with others"
"wear a brightly colored outfit","22","to wear"
"eat animal crackers","31","to eat"
"ignore traffic laws","3","to drive"
"stay for more than a few minutes","11","to leave"
"have a ""bring your daughter to work day""","41","to care for children"
"wear a turtleneck","22","to wear"
"watch r-rated movies","17","to engage in sexual activities"
"wear a button-down shirt","22","to wear"
"go hunting","10","to move around"
"cough without covering your mouth","36","to use the mouth"
"use dryer sheets","7",""
"verbally abuse the suspect","9","to express negative emotions"
"question the nation's policies","42","to discuss"
"post a picture on instagram","19","to take photos"
"bring your own paintball gun","28","to bring items"
"denounce the party","9","to express negative emotions"
"pick all the flowers","21","to care for plants"
"add milk to your coffee","1","to consume beverages"
"use a flash light to communicate","46","to be in the dark"
"open and smell the products","43","to engage in store operations"
"ask for a ""to go"" cup","12","to ask for something"
"sweat profusely","6","to manage clothing"
"climb on top of the benches","4","to climb"
"apply lotion","47","to use cosmetics"
"put your fingers in the enlarger","14","to use your hands"
"use essential oils","47","to use cosmetics"
"wear a veil","22","to wear"
"loudly talk on your cell phone","39","to make loud noises"
"pack your own lunch","25","to serve food"
"talk about your romantic feelings for someone","42","to discuss"
"eat chips","31","to eat"
"cleaning equipment","24","to clean"
"send food back to the kitchen","25","to serve food"
"buy in bulk","2","to buy"
"take a mulligan","10","to move around"
"buy a vinyl record","2","to buy"
"smell the fabric","47","to use cosmetics"
"buy something made of leather","2","to buy"
"shake your opponent's hand","14","to use your hands"
"hold your breath for a long time","36","to use the mouth"
"drink something other than champagne","1","to consume beverages"
"put ice on your head","37","to style"
"speak out of turn","49","to interact"
"provide personal care","15","to interact with others"
"sit in your pyjamas all day","6","to manage clothing"
"get a pixie cut","37","to style"
"take a break","10","to move around"
"go on patrol","10","to move around"
"bring animals inside","35","to interact with animals"
"look sad","38","to look"
"make waves","5","to be in water"
"drink from someone else's glass","1","to consume beverages"
"purchase a ticket","2","to buy"
"mail a letter without a stamp","26","to perform tasks"
"break up with your partner","17","to engage in sexual activities"
"order a light beer","1","to consume beverages"
"charge people for groceries","25","to serve food"
"hang out with friends","17","to engage in sexual activities"
"have a gun","28","to bring items"
"shake hands with a stranger","44","to touch someone"
"pray before the game","8","to participate in religious practices"
"carry a briefcase","28","to bring items"
"pick up a hitchhiker","3","to drive"
"have an e-cigarette","0","to use fire"
"jumping up and down","4","to climb"
"use something made of metal","7",""
"get a tattoo removal","34","to engage with the art community"
"wear skirt","22","to wear"
"learn to play an instrument from another country","13",""
"ask for a someone's phone number","12","to ask for something"
"fire your gun rapidly","0","to use fire"
"beg for things","12","to ask for something"
"harvest corn","21","to care for plants"
"sit down in a chair","20","to sit"
"wear a bra","22","to wear"
"criticize the army","9","to express negative emotions"
"assess patients for alcohol use disorder","23","to check"
"wear augmented reality glasses","22","to wear"
"analyze spending patterns","23","to check"
"serve alcohol","1","to consume beverages"
"check for valid tickets","23","to check"
